,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
36,-15.431723,-19.66339,43.384712,-10.830537,-12.925175,-3.4192562,-6.660083,-8.473223,11.257068,28.180302,15.057136,-7.4713893,2.7859383,-18.410656,6.1592956,-9.862675
37,-15.341055,-19.459488,43.284702,-10.6707325,-13.2109785,-3.5621164,-6.4346313,-8.502494,11.338077,28.101667,15.247944,-7.667173,2.5040228,-18.441362,6.197472,-10.064157
38,-14.9363,-20.91435,44.35302,-10.514476,-14.821046,-2.5160673,-6.598646,-6.7494006,13.782392,28.571306,17.301744,-7.555247,2.5412934,-18.656076,5.0288854,-8.720732
39,-15.301236,-21.108068,44.665947,-10.941959,-14.028314,-3.0383036,-7.045215,-7.792353,13.133032,28.678783,16.539047,-7.978873,2.9726725,-19.10191,5.584207,-9.758589
40,-15.582975,-20.019638,44.2716,-10.409799,-13.46648,-2.9496248,-5.575077,-7.9071026,12.0239105,28.55339,15.276842,-7.19444,2.9113889,-18.793339,5.439962,-9.552653
41,-15.500791,-19.480934,44.10181,-10.762123,-13.369621,-2.9672835,-5.407844,-8.767433,11.724842,28.604084,15.119235,-7.5077233,2.611515,-18.655787,5.5145364,-10.167664
42,-15.453399,-19.634758,44.248627,-10.516694,-13.568958,-2.89317,-5.138325,-8.448713,12.035958,28.601791,15.242803,-7.472115,2.6487732,-18.803148,5.3376684,-10.052099
43,-14.952972,-20.660774,44.397213,-10.5744,-14.991336,-2.2768521,-6.2288256,-6.878478,13.782492,28.671398,17.38743,-7.44129,2.3386497,-18.467915,4.769857,-8.664528
44,-15.433675,-19.917252,44.21892,-10.343331,-13.780374,-2.8934472,-5.4550476,-7.8413377,12.233074,28.554012,15.584109,-7.285268,2.6758142,-18.73813,5.354392,-9.540443
45,-15.533869,-19.8244,44.264774,-10.365867,-13.689341,-2.813739,-5.274872,-7.9225316,12.095756,28.593203,15.425853,-7.1547656,2.7023044,-18.680588,5.267979,-9.512483
46,-15.551645,-19.61367,44.271954,-10.874063,-13.576163,-2.363877,-5.322764,-8.318806,11.99193,28.791037,15.429043,-6.98776,2.6319246,-18.293098,4.983566,-9.372165
47,-14.969192,-25.668194,47.747963,-11.755401,-15.569926,-4.5049195,-10.449581,-8.17919,17.058681,29.37798,19.528753,-11.669759,4.075498,-22.434246,6.5261126,-12.785925
48,-15.242393,-18.140493,44.491436,-12.9135065,-13.594979,-1.8181926,-5.320002,-11.593785,11.576576,29.828154,15.616312,-8.123862,1.5443457,-17.716108,5.025018,-11.241228
