,CHEMBLID,smiles,ido_ic50,tdo_ic50,embed
38,7d,O=S(C1=NC2=CC=C(C3=CC=C(F)C=C3)C=C2O1)CC4=CC=C(C(F)(F)F)C=C4,5.0,5.0,"[-14.270111  -21.694302   44.65764    -8.509792  -13.753862   -3.0350084
  -4.058848   -6.525996   14.734695   27.698196   15.122492   -8.357209
   4.0866475 -20.991722    4.663034  -10.571854 ]"
39,7e,O=S(C1=NC2=CC=C(C3=CC=CC(F)=C3)C=C2O1)CC4=CC=C(C(F)(F)F)C=C4,5.0,5.0,"[-13.988042  -21.647303   44.562984   -8.400693  -13.755697   -3.0515165
  -3.865057   -6.635881   14.965454   27.615736   15.064565   -8.626257
   4.085036  -21.195267    4.6564636 -10.870965 ]"
40,7f,O=S(C1=NC2=CC=C(C3=CC=CC=C3F)C=C2O1)CC4=CC=C(C(F)(F)F)C=C4,6.455931955649724,5.0,"[-14.004867  -21.610174   44.49779    -8.383376  -13.743748   -3.104631
  -3.922987   -6.5993643  14.886604   27.583616   15.054984   -8.603106
   4.06302   -21.159441    4.721661  -10.832587 ]"
41,7g,O=S(C1=NC2=CC=C(C3=CC=C(C)C=C3)C=C2O1)CC4=CC=C(C(F)(F)F)C=C4,5.0,5.0,"[-14.170248  -21.761564   44.55054    -8.466239  -13.780022   -3.1228807
  -4.2360024  -6.428498   14.811052   27.617207   15.20772    -8.449901
   4.084986  -21.029013    4.762141  -10.572319 ]"
42,7h,O=S(C1=NC2=CC=C(C3=CC=CC(C)=C3)C=C2O1)CC4=CC=C(C(F)(F)F)C=C4,5.0,5.0,"[-13.908074  -21.710814   44.461163   -8.387395  -13.765573   -3.1222596
  -4.0581565  -6.5562277  15.016928   27.544914   15.142283   -8.69738
   4.087826  -21.20744     4.7463017 -10.855216 ]"
43,7i,O=S(C1=NC2=CC=C(C3=CC=CC=C3C)C=C2O1)CC4=CC=C(C(F)(F)F)C=C4,6.301029995663981,5.0,"[-13.95065   -21.630167   44.457455   -8.386425  -13.8305235  -3.1483917
  -4.0417237  -6.553705   14.952485   27.570797   15.187527   -8.670781
   4.0038886 -21.155546    4.778071  -10.825514 ]"
44,7j,FC(C1=CC=C(C2=CC=C3N=C(S(CC4=CC=C(C(F)(F)F)C=C4)=O)OC3=C2)C=C1)(F)F,5.0,5.0,"[-14.13865   -21.745811   44.635757   -8.293384  -13.802751   -3.0982535
  -3.849368   -6.4334893  14.923473   27.591913   15.090866   -8.491232
   4.120506  -21.188202    4.6334734 -10.721588 ]"
45,7k,FC(C1=CC(C2=CC=C3N=C(S(CC4=CC=C(C(F)(F)F)C=C4)=O)OC3=C2)=CC=C1)(F)F,6.585026652029182,5.0,"[-13.940001  -21.619556   44.499367   -8.313556  -13.813513   -3.1321723
  -3.8256397  -6.6072426  14.999132   27.547796   15.097206   -8.705012
   4.0338244 -21.23829     4.696082  -10.944586 ]"
46,7l,FC(C1=CC=CC=C1C2=CC=C3N=C(S(CC4=CC=C(C(F)(F)F)C=C4)=O)OC3=C2)(F)F,6.443697499232713,5.0,"[-13.95384   -21.453571   44.48099    -8.491957  -13.767045   -3.039993
  -3.799071   -6.8511076  14.881879   27.618237   15.053496   -8.699412
   3.959171  -21.116127    4.661478  -11.008472 ]"
47,8a,O=S(C1=NC2=CC(F)=CC=C2O1)CC3=CC=C(C(F)(F)F)C=C3,6.214670164989233,5.0,"[-13.507678  -20.869917   43.549927   -8.787064  -13.133658   -3.9142785
  -4.5243216  -8.113356   14.160789   27.147041   14.523676   -9.723485
   3.7567465 -21.269564    5.689745  -12.433874 ]"
48,8b,O=S(C1=NC2=CC(Cl)=CC=C2O1)CC3=CC=C(C(F)(F)F)C=C3,6.585026652029182,5.0,"[-13.462088  -20.86946    43.570637   -8.855941  -13.177806   -3.8449032
  -4.544185   -8.1531925  14.2384405  27.188135   14.598107   -9.754185
   3.7279165 -21.248356    5.644824  -12.43303  ]"
49,8c,O=S(C1=NC2=CC(Br)=CC=C2O1)CC3=CC=C(C(F)(F)F)C=C3,6.795880017344075,5.0,"[-13.4699    -20.894426   43.310753   -8.500762  -13.159667   -4.042974
  -4.5407186  -7.735092   14.135694   26.917856   14.522803   -9.621489
   3.7685351 -21.238478    5.74971   -12.226618 ]"
50,8d,O=S(C1=NC2=CC([N+]([O-])=O)=CC=C2O1)CC3=CC=C(C(F)(F)F)C=C3,7.040958607678906,6.6020599913279625,"[-13.741631  -23.035889   43.68302    -8.723485  -13.25811    -5.9022174
  -8.008535   -7.232299   14.517011   26.637648   15.682653  -10.949544
   4.342924  -22.29953     7.6044006 -12.94292  ]"
51,8e,O=S(C1=NC2=CC(C#N)=CC=C2O1)CC3=CC=C(C(F)(F)F)C=C3,6.455931955649724,5.0,"[-13.783742  -22.82284    44.42047    -9.646255  -13.120061   -5.014218
  -7.4329147  -8.438396   14.737048   27.353678   15.521303  -11.019783
   4.374074  -22.210411    6.891593  -13.404179 ]"
52,8f,O=S(C1=NC2=CC(OC)=CC=C2O1)CC3=CC=C(C(F)(F)F)C=C3,5.769551078621726,5.0,"[-13.468135  -20.973112   43.599277   -8.807765  -13.165038   -3.911192
  -4.603416   -8.097611   14.280014   27.163605   14.59838    -9.792376
   3.7882493 -21.329271    5.689262  -12.462695 ]"
53,8g,O=S(C1=NC2=CC(C3=CC=C(C)C=C3)=CC=C2O1)CC4=CC=C(C(F)(F)F)C=C4,5.0,5.0,"[-14.06886   -21.802116   44.459644   -8.180088  -13.757667   -3.2462878
  -4.0700774  -6.230805   14.893466   27.469267   15.090093   -8.501212
   4.159139  -21.210247    4.8098173 -10.624696 ]"
54,8h,O=S(C1=NC2=CC(C3=CC(C)=CC=C3)=CC=C2O1)CC4=CC=C(C(F)(F)F)C=C4,5.337242168318426,5.0,"[-13.810106  -21.752865   44.371643   -8.102004  -13.742779   -3.2458763
  -3.8947773  -6.3566117  15.096859   27.397682   15.024897   -8.745572
   4.162796  -21.386993    4.794251  -10.904121 ]"
55,8i,O=S(C1=NC2=CC(C3=C(C)C=CC=C3)=CC=C2O1)CC4=CC=C(C(F)(F)F)C=C4,5.318758762624412,5.0,"[-13.85657   -21.668455   44.370487   -8.114116  -13.80994    -3.2631187
  -3.883655   -6.361339   15.029458   27.430134   15.076484   -8.714018
   4.0742893 -21.323772    4.820727  -10.868085 ]"
56,8j,O=S(C1=NC2=CC(C(O)=O)=CC=C2O1)CC3=CC=C(C(F)(F)F)C=C3,6.3979400086720375,5.0,"[-13.715791  -22.217537   43.637398   -9.37422   -13.3135605  -5.0876007
  -7.398744   -7.978      14.338349   26.98661    15.66724   -10.654944
   3.9227421 -21.601276    6.9736314 -12.799733 ]"
57,9a,FC1=C2N=C(S(CC3=CC=C(Cl)C=C3)=O)OC2=CC=C1,6.346787486224656,5.055517327849831,"[-13.429024  -20.668264   43.563213   -9.201735  -13.112537   -3.6215107
  -4.615925   -8.48729    14.148151   27.354355   14.601949   -9.730828
   3.6385121 -21.038912    5.5749664 -12.431203 ]"
58,9b,O=S(C1=NC2=C(Cl)C=CC=C2O1)CC3=CC=C(Cl)C=C3,6.443697499232713,5.086186147616283,"[-13.381887  -20.671423   43.566734   -9.216823  -13.16173    -3.590874
  -4.6189694  -8.485107   14.222318   27.36839    14.665294   -9.76474
   3.6122506 -21.041649    5.5522857 -12.432918 ]"
59,9c,O=S(C1=NC2=C(Br)C=CC=C2O1)CC3=CC=C(Cl)C=C3,6.698970004336019,5.0,"[-13.266637  -20.643564   43.293106   -9.187555  -13.098085   -3.5810432
  -4.7451577  -8.3896     14.209944   27.183563   14.659376   -9.749413
   3.6199086 -20.921646    5.550811  -12.340773 ]"
60,9d,CC1=C2N=C(S(CC3=CC=C(Cl)C=C3)=O)OC2=CC=C1,5.318758762624412,5.0,"[-13.250276  -20.769484   43.527042   -9.11088   -13.229621   -3.6850348
  -4.6878004  -8.382944   14.392311   27.303589   14.75285    -9.914912
   3.6216712 -21.177095    5.627825  -12.509292 ]"
61,9e,O=S(C1=NC2=C(C3=CC=CC=C3)C=CC=C2O1)CC4=CC=C(Cl)C=C4,6.214670164989233,5.0,"[-14.064961  -20.291508   45.079575  -10.8785    -13.931738   -1.4891162
  -3.8609047  -9.294983   14.608552   28.971056   15.61319    -8.703431
   3.0830698 -19.82286     3.820764  -11.308846 ]"
62,9f,OC1=C2N=C(S(CC3=CC=C(Cl)C=C3)=O)OC2=CC=C1,5.0,5.0,"[-13.266411  -21.136454   43.81267    -9.386989  -13.900386   -3.2886512
  -5.1351714  -7.9170613  15.007745   27.537855   15.75273    -9.778996
   3.3974183 -20.867445    5.280545  -11.864985 ]"
63,10a,O=S(C1=NC2=CC(OC)=C(OC)C=C2O1)CC3=CC=C(C(F)(F)F)C=C3,5.0,5.0,"[-13.239423  -21.03304    43.478184   -8.852246  -13.30165    -3.901565
  -4.7965965  -8.081605   14.531828   27.105865   14.843815  -10.000793
   3.7068677 -21.341848    5.704113  -12.526981 ]"
64,10b,O=S(C1=NC2=CC(Cl)=C(Cl)C=C2O1)CC3=CC=C(Cl)C=C3,6.769551078621726,5.494850021680094,"[-13.550727  -20.718094   43.526825   -9.178517  -13.191705   -3.5993755
  -4.7399845  -8.255415   14.075824   27.325703   14.730988   -9.5274
   3.6068485 -20.865395    5.536424  -12.128286 ]"
65,10c,O=S(C1=NC2=CC(F)=C(Br)C=C2O1)CC3=CC=C(C(F)(F)F)C=C3,6.568636235841013,5.251811972993799,"[-13.5026865 -20.842007   43.24658    -8.490185  -13.144148   -3.9422612
  -4.462644   -7.6712565  14.081404   26.880259   14.49486    -9.47704
   3.7645743 -21.109278    5.6338987 -12.078983 ]"
66,10d,O=S(C1=NC2=CC(Br)=C(Br)C=C2O1)CC3=CC=C(Cl)C=C3,6.113509274827519,5.0,"[-13.404539  -20.940857   43.06302    -8.344075  -13.09741    -3.9940658
  -4.611207   -7.3910537  14.128103   26.72612    14.488981   -9.428833
   3.8503788 -21.108212    5.6927447 -11.904238 ]"
67,10e,FC1=C(OC(S(CC2=CC=C(Cl)C=C2)=O)=N3)C3=C(F)C=C1,6.4089353929735005,5.0,"[-13.365135  -20.563616   43.55506    -9.233092  -13.079877   -3.3950086
  -4.359334   -8.571476   14.194042   27.375841   14.521453   -9.648556
   3.6417236 -20.959736    5.351703  -12.40458  ]"
68,10f,FC1=C(OC(S(CC2=CC=C(Cl)C=C2)=O)=N3)C3=CC=C1F,6.327902142064283,5.221848749616356,"[-13.768975  -20.641916   43.730247   -9.529461  -13.150629   -3.2582917
  -4.7336345  -8.446779   13.921536   27.569973   14.751445   -9.238882
   3.5884926 -20.563627    5.2928705 -11.887249 ]"
69,10g,FC1=C(F)C=C2N=C(S(CC3=CC=C(Cl)C=C3)=O)OC2=C1,5.958607314841775,5.0,"[-13.624461  -20.75337    43.50467    -8.985046  -13.119144   -3.7420268
  -4.653003   -8.123957   13.974762   27.231441   14.580376   -9.474864
   3.686613  -20.956894    5.610329  -12.132758 ]"
70,10h,FC1=CC=C(OC(S(CC2=CC=C(Cl)C=C2)=O)=N3)C3=C1F,6.251811972993799,5.161150909262744,"[-13.815893  -20.399668   43.703743   -9.574324  -13.2389     -3.367231
  -4.649413   -8.668588   13.757367   27.615402   14.7821865  -9.32459
   3.3811643 -20.511602    5.4037137 -12.061889 ]"
71,10i,FC1=C(F)C(F)=C2N=C(S(CC3=CC=C(Cl)C=C3)=O)OC2=C1,6.795880017344075,5.376750709602099,"[-13.841996  -20.500944   43.6667     -9.247546  -13.334664   -3.4715934
  -4.5246773  -8.271906   13.813461   27.48374    14.801813   -9.214818
   3.4176195 -20.588636    5.4002786 -11.885442 ]"
72,10j,FC1=C(C2=CC=CC=C2F)C=C(OC(S(CC3=CC=C(Cl)C=C3)=O)=N4)C4=C1F,6.431798275933005,5.040958607678906,"[-13.9387245 -21.129526   44.403378   -8.690595  -13.790759   -2.8489444
  -3.6969388  -7.0849786  14.715306   27.736435   15.066946   -8.596116
   3.7642796 -20.854197    4.58053   -10.938942 ]"
73,10k,FC1=CC=CC=C1C2=C(F)C=C3N=C(S(CC4=CC=C(Cl)C=C4)=O)OC3=C2,7.086186147616283,5.327902142064283,"[-13.962668  -21.407791   44.37321    -8.509862  -13.75896    -3.0947728
  -3.9918509  -6.7683325  14.76078    27.609514   15.092735   -8.631278
   3.9164755 -21.014992    4.786776  -10.862054 ]"
74,10l,FC1=CC=CC=C1C2=CC=C3N=C(S(CC4=CC=C(Cl)C=C4)=O)OC3=C2F,7.050609993355088,5.42021640338319,"[-13.916491  -21.226137   44.416405   -8.630585  -13.828953   -2.8895984
  -3.753753   -6.9713707  14.80725    27.70877    15.125704   -8.625591
   3.7995124 -20.914942    4.6043854 -10.912362 ]"
75,3a,COC1=C(OC)C=CC2=C1C=NC(C3=CC=CC=C3)=C2,5.1073489661227,6.468521082957745,"[-14.580602   -22.748974    47.35413     -7.835969   -14.586215
  -0.26330137  -0.45948827  -4.8856516   17.102213    29.115904
  15.128871    -6.590948     5.0508385  -21.581575     1.5008472
  -8.671302  ]"
76,3b,COC1=C(OC)C=CC2=C1C=NC(C3=CC=C(Br)C=C3)=C2,4.104522203724286,4.46495918674884,"[-15.033143   -22.712156    47.10074     -7.5805182  -14.597024
  -0.40501872  -0.6435929   -4.2367654   16.54536     28.888699
  15.135558    -5.934639     5.0093594  -21.116209     1.5550404
  -7.8971577 ]"
77,3c,COC1=C(OC)C=CC2=C1C=NC(C3=CC=C(F)C=C3)=C2,4.370386554621817,5.041914151478915,"[-15.043471  -22.707796   47.486023   -7.937854  -14.632712   -0.1568562
  -0.5246246  -4.6959996  16.707325   29.234177   15.192621   -6.0710793
   4.991462  -21.190706    1.3881559  -8.148497 ]"
78,3d,CC1=CC=C(C2=CC3=C(C=N2)C(OC)=C(OC)C=C3)C=C1,4.0,4.0,"[-14.925835   -22.74864     47.36581     -7.9066057  -14.681038
  -0.2801241   -0.72376436  -4.6437135   16.780636    29.155483
  15.303493    -6.2172685    4.952302   -21.237507     1.5274128
  -8.206314  ]"
79,3e,COC1=C(OC)C=CC2=C1C=NC(C3=CC=C(C(C)(C)C)C=C3)=C2,4.0,4.636012170251509,"[-15.064898   -22.765446    47.353916    -7.863613   -14.598061
  -0.34470898  -0.70026046  -4.625166    16.626186    29.083712
  15.191748    -6.130736     5.004185   -21.21085      1.528365
  -8.195393  ]"
80,3f,COC1=CC=C(C2=CC3=C(C=N2)C(OC)=C(OC)C=C3)C=C1,4.95311480916229,5.565431095965801,"[-15.044589   -22.824673    47.618126    -7.8824124  -14.656489
  -0.11952002  -0.4145769   -4.651188    16.846498    29.263468
  15.191146    -6.090446     5.067121   -21.308641     1.3064787
  -8.183711  ]"
81,3g,COC1=C(OC)C=CC2=C1C=NC(C34C[C@H]5C[C@@](C4)([H])C[C@H](C5)C3)=C2,4.749092300299144,5.578396073130169,"[ -6.502095  -34.763485   36.087833   -8.923936    3.761253    0.9488965
 -16.039299   -1.5453398  19.794796   18.371998    3.115984   -8.00183
  21.917671  -24.197937    2.5194206  -7.9346933]"
