CHEMBLID,smiles,ido_ic50,tdo_ic50
106,CHEMBL4239450,O=C([O-])c1cccc(NC(=O)c2c3c(n4ccccc24)C(=O)c2cccnc2C3=O)c1.[K+],390.0,100000.0
107,CHEMBL4242333,O=C1c2cccnc2C(=O)c2c1c(C(=O)Nc1ccccc1)c1ccccn21,361.0,7300.0
108,CHEMBL4243692,O=C([O-])c1cccc(NC(=O)c2c3c(n4ccccc24)C(=O)c2ncccc2C3=O)c1.[K+],148.0,41600.0
109,CHEMBL4245134,NC(=S)NNC(=O)c1c2c(n3ccccc13)C(=O)c1ncccc1C2=O,23.0,1200.0
110,CHEMBL4245579,CN(C)CCNC(=O)c1c2c(n3ccccc13)C(=O)c1cccnc1C2=O,1235.0,7150.0
111,CHEMBL4248088,O=C1c2ncccc2C(=O)c2c1c(C(=O)Nc1ccccc1)c1ccccn21,119.0,100000.0
112,CHEMBL4250771,Cc1ccccc1NC(=O)c1c2c(n3ccccc13)C(=O)c1ncccc1C2=O,427.0,100000.0
113,CHEMBL4276879,Nc1sc2ccccc2c1Sc1cccc(Cl)c1,1000.0,2000.0
114,CHEMBL4276886,CNC(=O)c1cc(-c2nccc3c(Nc4ccc(F)c(C(F)(F)F)c4)c(N)oc23)ccn1,200.0,2000.0
115,CHEMBL4276888,Cc1cc(-c2cccc3c(Nc4cccc(Cl)c4)c(N)sc23)ccn1,200.0,500.0
116,CHEMBL4276905,Nc1oc2c(-c3ccccc3Cl)nccc2c1Nc1ccc(F)c(F)c1,200.0,500.0
117,CHEMBL4276969,C#Cc1cc(Nc2c(N)oc3c(-c4ccncc4)nccc23)ccc1F,200.0,500.0
118,CHEMBL4277061,COc1cc2c(Nc3ccc(F)c(Cl)c3)c(N)oc2cn1,200.0,500.0
119,CHEMBL4277115,Nc1oc2cnccc2c1Nc1ccc(F)cc1,200.0,500.0
120,CHEMBL4277163,Cc1cc(Cl)cc(Nc2c(N)oc3cnccc23)c1,200.0,500.0
121,CHEMBL4277184,Nc1sc2ccccc2c1Nc1ccccc1,200.0,500.0
122,CHEMBL4277268,Nc1oc2cnc(F)cc2c1Nc1ccc(F)c(C(F)(F)F)c1,200.0,500.0
123,CHEMBL4277355,CC(C)Oc1cccc(Nc2c(N)oc3cnccc23)c1,1000.0,2000.0
124,CHEMBL4277452,Cc1ccc(Nc2c(N)oc3cnccc23)cc1C,200.0,500.0
